Total claims: 294

specimen | speaker | type | claimText (first 150 chars)
databricks | Ali Ghodsi | teleological | We're much more focused on: how can we make AI useful today in organizations?
databricks | Ali Ghodsi | identity | We can give you a good quality on the specific task, because we're cheating and we're doing boring AI, focusing just on specific tasks that you want h
databricks | Ali Ghodsi | direction-under-uncertainty | I'm a little bit worried. There's definitely too much of everybody doing the same thing in general.
databricks | Ali Ghodsi | sacrifice-justification | If I wanted to have a crazy, crazy valuation, we would have gone public in the last 12 months...As an AI company, valuation could have gone ahead of i
databricks | Ali Ghodsi | direction-under-uncertainty | What's your business model?...If that's all you're doing, that's what everyone is doing.
databricks | Ali Ghodsi | transformation-framing | If you look at the enterprise space today, especially since the pandemic started, everyone wants to quickly figure out how they can get AI into their 
databricks | Ali Ghodsi | teleological | They would not be here today if they didn't have artificial intelligence and data as a strategic asset from the beginning.
databricks | Ali Ghodsi | identity | We're the only company right now that combines massive data processing with AI.
databricks | Ali Ghodsi | direction-under-uncertainty | 95% of AI projects fail.
databricks | Ali Ghodsi | direction-under-uncertainty | LLMs are rapidly commoditizing.
databricks | Ali Ghodsi | employee-deal | We all become supervisors.
databricks | Ali Ghodsi | utopian | With this investment, we're deepening our commitment to help every organization innovate with AI on their own data.
walmart | Doug McMillon | teleological | Our approach to new tools like generative AI is to focus on making shopping easier and more convenient for our customers and members and helping our a
walmart | Doug McMillon | identity | We're people and tech, stores and e-commerce, innovation and execution…We're investing in and becoming stronger with regard to technology, while simul
walmart | Doug McMillon | transformation-framing | We have the most capable group of technologists that we've ever had and a set of relationships with other companies that help us drive innovation with
walmart | Doug McMillon | direction-under-uncertainty | The first thing that goes through my mind is the growth opportunity.
walmart | Doug McMillon | identity | We're people-led and tech-powered. We want the tech to serve people.
walmart | Doug McMillon | sacrifice-justification | Every job we've got is going to change in some way...It will eliminate some tasks and eliminate some roles.
walmart | Doug McMillon | employee-deal | We want to equip everybody to be able to make the most of the new tools...learn, adapt, add value, drive growth.
walmart | Doug McMillon | employee-deal | You've got to be really straightforward, really honest. Give people what they need, encourage them, support them, lean into change.
walmart | Doug McMillon | direction-under-uncertainty | The thing that most of us regret is not going faster.
walmart | Doug McMillon | transformation-framing | It's very clear that AI is going to change literally every job.
walmart | Doug McMillon | sacrifice-justification | Our goal is to create the opportunity for everybody to make it to the other side. Some jobs and tasks at Walmart will be eliminated, but others will b
walmart | Doug McMillon | employee-deal | How can I lean into the role that I have—whatever that role is—to adopt new tools, leverage them, and make things better than they would've otherwise 
walmart | Greg Cathey | identity | AI is a key enabler in improving how we work, and we believe its full potential is unlocked only when paired with the strengths of our people. When yo
walmart | David Guggina | transformation-framing | AI is changing how people shop, and customer expectations are higher than ever. But no one is more prepared to usher in the next era of retail.
walmart | Doug McMillon | utopian | We have an opportunity to create an e-commerce experience that's multimedia, more personalized, contextual.
moderna | Stéphane Bancel | utopian | We believe that AI will be as transformational to any business as the desktop computer was when it entered the corporate world.
moderna | Stéphane Bancel | teleological | We have the platform, technology, resources and the team to establish a new era of medicine.
moderna | Stéphane Bancel | identity | We will continue to lead with our Values, our Mindsets and a deep sense of purpose in everything we do.
moderna | Stéphane Bancel | transformation-framing | Given the doubling of AI capabilities every 6 to 7 months, we are working hard to continue to reinvent our company across each business process, depar
moderna | Stéphane Bancel | transformation-framing | Today, 100% of our knowledge workers are active daily users of ChatGPT.
moderna | Stéphane Bancel | transformation-framing | We rolled out GPT Enterprise in 2024 and established widespread GPT literacy across the entire organization.
moderna | Stéphane Bancel | employee-deal | As of 2023, AI training is required for all Moderna team members, and we facilitate this training at the corporate level through our AI academy.
moderna | Stéphane Bancel | identity | AI has been part of the foundation of Moderna's research and development programs for several years. We have built our own AI models for protein and m
moderna | Stéphane Bancel | transformation-framing | I'm happy to share our AI implementation is accelerating for Moderna. Around 50% of our employees use it already only 60 days after launch.
moderna | Stéphane Bancel | transformation-framing | The team has already within 2000, GPTs within the company, and they are literally across everything.
moderna | Stéphane Bancel | transformation-framing | We use it in science, we invent new molecule...We use it in manufacturing to improve process yield.
moderna | Stéphane Bancel | identity | Our commitment to leveraging mRNA to deliver transformative medicines for patients has never been stronger.
deloitte | Dan Helfrich | transformation-framing | We launched the Deloitte AI Academy to train our own individuals, but then we're finding ways to avail the broader world and our clients with some of 
deloitte | Dan Helfrich | transformation-framing | The consultant, which connotes for most people...that you probably conjure up an image in your mind of what that person physically looks like. That pe
deloitte | Dan Helfrich | employee-deal | We have far more people in the second, third, or fourth chapter of their career than 15 years ago...far more people who have highly technical degrees 
deloitte | Deloitte (official statement) | transformation-framing | modernizing our talent architecture to provide a more tailored experience reflective of our professionals' broad range of skills and the work they do 
deloitte | Joe Ucuzoglu | utopian | fundamentally alter the profession
